"nacionality","sex","age","sport","medal"
"KAZ","F",18,"taekwondo","F"
"JPN","F",22,"gymnastics","F"
"LTU","F",24,"athletics","F"
"CHN","M",21,"aquatics","T"
"JAM","F",27,"athletics","F"
"AUS","F",16,"shooting","F"
"KGZ","F",23,"wrestling","F"
"ESP","M",23,"aquatics","F"
"AUS","F",31,"football","F"
"USA","F",22,"athletics","F"
"SUI","F",20,"athletics","F"
"HUN","F",15,"aquatics","F"
"USA","F",25,"rugby sevens","F"
"JPN","F",38,"equestrian","F"
"JPN","F",28,"hockey","F"
"JPN","F",19,"badminton","F"
"RSA","M",23,"athletics","F"
"IND","M",22,"hockey","F"
"CAN","M",24,"athletics","T"
"BAR","F",21,"athletics","F"
"JPN","F",27,"hockey","F"
"JPN","F",25,"canoe","F"
"JPN","M",26,"athletics","F"
"JPN","F",32,"shooting","F"
"NZL","M",21,"rugby sevens","F"
"JPN","M",28,"aquatics","F"
"TOG","F",20,"rowing","F"
"GHA","F",20,"athletics","F"
"IRQ","M",20,"football","F"
"EGY","M",26,"fencing","F"
"NGR","M",29,"basketball","F"
"GBR","M",30,"sailing","F"
"GBR","M",33,"rowing","F"
"RSA","M",20,"cycling","F"
"GBR","M",31,"rowing","F"
"IRL","M",29,"hockey","F"
"NZL","F",29,"athletics","F"
"AUS","F",32,"athletics","F"
"AUS","F",21,"football","F"
"GBR","M",29,"hockey","F"
"ESP","F",27,"basketball","T"
"NIG","M",21,"aquatics","F"
"SUI","F",19,"golf","F"
"ESP","M",31,"aquatics","F"
"RUS","M",24,"taekwondo","F"
"ESP","M",38,"equestrian","F"
"BRN","M",24,"athletics","F"
"ESP","M",22,"aquatics","F"
"VEN","M",24,"boxing","F"
"ESP","M",28,"tennis","F"
"ROU","M",31,"wrestling","T"
"AZE","M",30,"boxing","F"
"VEN","M",30,"aquatics","F"
"VEN","M",29,"athletics","F"
"HON","M",20,"football","F"
"ANG","F",20,"handball","F"
"MEX","M",25,"athletics","F"
"ARG","M",26,"boxing","F"
"ESP","M",33,"shooting","F"
"ARG","M",26,"boxing","F"
"ESP","M",22,"aquatics","F"
"ITA","M",31,"canoe","F"
"SWE","M",24,"handball","F"
"RUS","F",29,"shooting","F"
"BRA","M",24,"athletics","F"
"ITA","M",38,"fencing","F"
"AUS","M",20,"archery","T"
"GER","M",29,"athletics","F"
"COL","F",29,"rugby sevens","F"
"MEX","F",25,"weightlifting","F"
"VEN","F",36,"fencing","F"
"MEX","F",28,"golf","F"
"MEX","F",19,"aquatics","F"
"MEX","F",22,"athletics","F"
"ESP","F",24,"gymnastics","T"
"MEX","F",25,"fencing","F"
"MEX","F",22,"archery","F"
"MEX","F",32,"shooting","F"
"CUB","M",28,"wrestling","F"
"URU","M",32,"sailing","F"
"ESP","M",36,"cycling","F"
"AZE","M",26,"rowing","F"
"MNE","M",30,"aquatics","F"
"SRB","M",41,"table tennis","F"
"SRB","M",25,"judo","F"
"BUL","M",24,"aquatics","F"
"MNE","M",29,"aquatics","F"
"RUS","M",21,"aquatics","F"
"RUS","M",35,"canoe","F"
"RUS","M",31,"equestrian","F"
"RUS","M",22,"aquatics","F"
"RUS","M",20,"aquatics","F"
"ITA","F",28,"aquatics","T"
"SRB","F",20,"basketball","T"
"POL","F",26,"shooting","F"
"SRB","F",23,"tennis","F"
"RUS","F",28,"aquatics","T"
"KAZ","F",26,"athletics","F"
"POL","F",34,"fencing","F"
"POL","F",29,"aquatics","F"
"LAT","M",31,"volleyball","F"
"RUS","M",19,"aquatics","F"
"RUS","M",22,"cycling","F"
"LAT","M",30,"canoe","F"
"LAT","M",34,"cycling","F"
"UZB","M",26,"canoe","F"
"FIN","M",24,"athletics","F"
"BRN","M",26,"athletics","F"
"UKR","M",28,"wrestling","F"
"BLR","F",28,"athletics","F"
"BLR","F",27,"cycling","F"
"BLR","F",25,"rowing","F"
"CAN","F",35,"golf","F"
"BLR","F",23,"athletics","F"
"USA","F",26,"hockey","F"
"ESP","F",38,"athletics","F"
"ITA","F",25,"rowing","F"
"SMR","F",28,"shooting","F"
"ITA","M",30,"cycling","F"
"ITA","M",28,"triathlon","F"
"ITA","M",29,"aquatics","T"
"ITA","M",21,"aquatics","T"
"ITA","F",25,"volleyball","F"
"ITA","F",20,"gymnastics","F"
"ITA","F",18,"volleyball","F"
"ITA","F",22,"aquatics","F"
"ITA","F",23,"athletics","F"
"NED","F",27,"rowing","F"
"USA","F",25,"rugby sevens","F"
"ESP","M",23,"basketball","T"
"GHA","M",24,"athletics","F"
"COK","M",21,"athletics","F"
"USA","M",23,"aquatics","F"
"ESP","M",28,"hockey","F"
"GER","M",46,"golf","F"
"BRA","M",36,"basketball","F"
"CUB","M",23,"judo","F"
"GBR","M",32,"rowing","T"
"CHN","M",27,"equestrian","F"
"NZL","M",24,"rowing","F"
"NZL","F",24,"sailing","T"
"USA","F",27,"football","F"
"USA","M",25,"aquatics","F"
"ITA","M",29,"volleyball","F"
"USA","M",21,"aquatics","F"
"SAM","M",25,"athletics","F"
"BAR","M",18,"aquatics","F"
"BRA","M",28,"judo","F"
"IRL","M",26,"athletics","F"
"ITA","M",26,"aquatics","F"
"MEX","F",22,"gymnastics","F"
"AUS","M",26,"rowing","T"
"NED","M",27,"volleyball","T"
"RUS","M",29,"triathlon","F"
"BLR","M",29,"tennis","F"
"CZE","M",22,"fencing","F"
"AUS","M",23,"cycling","T"
"SWE","M",22,"football","F"
"AUT","M",26,"cycling","F"
"AUS","M",23,"athletics","F"
"BEL","M",23,"hockey","F"
"AUS","M",23,"rowing","T"
"AUT","M",34,"volleyball","F"
"AUT","M",31,"volleyball","F"
"GER","M",30,"athletics","F"
"USA","M",26,"rowing","F"
"GER","M",39,"athletics","F"
"SWE","M",19,"football","F"
"KEN","M",20,"athletics","F"
"RUS","M",28,"modern pentathlon","T"
"AUS","M",26,"rowing","F"
"USA","M",22,"fencing","T"
"SWE","M",24,"football","F"
"CUB","M",25,"shooting","F"
"USA","M",25,"gymnastics","T"
"AUT","M",36,"tennis","F"
"BRA","M",22,"athletics","F"
"AUT","M",27,"shooting","F"
"ISR","M",29,"gymnastics","F"
"RUS","M",26,"table tennis","F"
"ESP","M",28,"rowing","F"
"RUS","M",28,"aquatics","F"
"RUS","M",31,"volleyball","F"
"MDA","M",27,"weightlifting","F"
"KAZ","M",32,"canoe","F"
"KAZ","M",24,"weightlifting","T"
"GER","F",22,"athletics","F"
"GBR","F",31,"hockey","T"
"AUS","F",25,"rowing","F"
"ARG","F",33,"canoe","F"
"FRA","F",29,"handball","T"
"SVK","F",22,"archery","F"
"BRA","F",35,"handball","F"
"MDA","F",23,"archery","F"
"KAZ","F",21,"aquatics","F"
"PUR","F",32,"volleyball","F"
"GER","F",25,"football","T"
"BLR","F",29,"table tennis","F"
"USA","F",22,"gymnastics","T"
"RUS","F",26,"triathlon","F"
"FRA","F",23,"athletics","F"
"SUI","F",22,"aquatics","F"
"GER","F",21,"aquatics","F"
"GER","F",22,"athletics","F"
"FRA","M",34,"equestrian","F"
"SEN","M",35,"fencing","F"
"FRA","M",29,"aquatics","F"
"BRA","M",17,"fencing","F"
"SUI","M",21,"aquatics","F"
"FRA","M",25,"judo","F"
"BEL","M",28,"hockey","F"
"GRE","M",27,"aquatics","F"
"ESP","F",30,"handball","F"
"BRA","M",28,"handball","F"
"GRE","M",28,"athletics","F"
"RUS","M",41,"shooting","F"
"MDA","M",17,"aquatics","F"
"GER","M",26,"weightlifting","F"
"RUS","M",41,"shooting","F"
"RUS","M",31,"fencing","T"
"RUS","M",23,"taekwondo","T"
"KAZ","M",32,"canoe","F"
"RUS","M",34,"volleyball","F"
"RUS","M",33,"fencing","F"
"GRE","F",26,"athletics","F"
"ARG","M",35,"volleyball","F"
"FRA","M",22,"shooting","T"
"POR","M",24,"aquatics","F"
"ARG","M",23,"football","F"
"FRA","M",28,"cycling","F"
"SEY","F",23,"aquatics","F"
"MEX","M",23,"wrestling","F"
"ESP","M",25,"canoe","F"
"KEN","M",20,"athletics","F"
"ECU","M",23,"cycling","F"
"MEX","M",34,"football","F"
"LBA","M",27,"rowing","F"
"IRQ","M",23,"football","F"
"LBA","M",19,"archery","F"
"TUR","M",26,"boxing","F"
"IRQ","M",22,"football","F"
"IRI","M",25,"weightlifting","F"
"IRQ","M",22,"football","F"
"TUR","M",22,"athletics","F"
"EGY","M",20,"aquatics","F"
"BRN","M",21,"athletics","F"
"USA","F",32,"football","F"
"ALG","M",21,"athletics","F"
"TUN","M",22,"cycling","F"
"IRI","M",26,"fencing","F"
"NZL","F",29,"football","F"
"SWE","M",19,"football","F"
"QAT","M",35,"equestrian","F"
"EGY","M",26,"handball","F"
"JAM","F",28,"aquatics","F"
"UAE","F",23,"athletics","F"
"BLR","M",24,"weightlifting","F"
"BLR","M",32,"fencing","F"
"BLR","M",27,"athletics","F"
"BLR","F",31,"aquatics","T"
"BLR","F",28,"basketball","F"
"BLR","M",20,"weightlifting","F"
"TUR","M",28,"sailing","F"
"KEN","F",22,"athletics","F"
"AUS","F",23,"archery","F"
"ITA","F",23,"aquatics","F"
"NED","F",45,"equestrian","F"
"GBR","F",29,"rugby sevens","F"
"GBR","F",28,"judo","F"
"ITA","F",24,"sailing","F"
"ITA","F",25,"modern pentathlon","F"
"GBR","F",20,"aquatics","F"
"CAN","F",26,"athletics","F"
"ESP","F",33,"sailing","F"
"AUS","F",29,"aquatics","F"
"ESP","F",22,"hockey","F"
"AUS","F",24,"rugby sevens","T"
"POL","F",24,"aquatics","F"
"ROU","M",26,"wrestling","F"
"ROU","M",24,"aquatics","F"
"ROU","M",33,"shooting","F"
"NAM","F",33,"athletics","F"
"UKR","F",27,"athletics","F"
"UKR","F",23,"fencing","T"
"UKR","F",26,"athletics","F"
"ROU","F",23,"athletics","F"
"UKR","F",25,"wrestling","F"
"BLR","F",27,"athletics","F"
"BRA","F",27,"football","F"
"GER","F",25,"wrestling","F"
"BRA","F",30,"wrestling","F"
"BLR","F",26,"athletics","F"
"IRI","M",19,"judo","F"
"IRI","M",22,"wrestling","F"
"USA","F",22,"gymnastics","F"
"RUS","F",26,"sailing","F"
"USA","F",25,"cycling","T"
"USA","F",28,"volleyball","T"
"BRA","M",31,"volleyball","T"
"GBR","F",29,"sailing","F"
"NZL","M",27,"rowing","F"
"GBR","M",28,"triathlon","T"
"RUS","F",22,"gymnastics","T"
"GUY","F",19,"athletics","F"
"FRA","F",26,"tennis","F"
"UKR","F",27,"wrestling","F"
"RUS","F",27,"aquatics","T"
"HON","M",23,"football","F"
"AUS","M",23,"rugby sevens","F"
"HON","M",23,"aquatics","F"
"SEY","M",39,"sailing","F"
"DEN","M",35,"sailing","F"
"BRA","M",27,"aquatics","F"
"HON","M",23,"football","F"
"EST","M",33,"rowing","T"
"USA","F",29,"football","F"
"CAN","F",23,"cycling","T"
"USA","F",37,"equestrian","T"
"FRA","F",27,"handball","T"
"USA","F",26,"aquatics","T"
"SKN","M",26,"athletics","F"
"CAN","F",27,"football","T"
"USA","F",31,"athletics","T"
"ARU","F",21,"aquatics","F"
"KAZ","M",29,"wrestling","F"
"ETH","F",25,"athletics","T"
"GER","M",35,"weightlifting","F"
"GER","F",25,"football","T"
"ISR","F",19,"gymnastics","F"
"LAT","F",25,"aquatics","F"
"PAN","M",27,"athletics","F"
"PER","M",38,"equestrian","F"
"BAH","M",24,"athletics","T"
"KEN","M",22,"athletics","F"
"TAN","M",24,"athletics","F"
"BRA","M",26,"athletics","F"
"BRA","M",43,"equestrian","F"
"ESP","M",23,"hockey","F"
"ESP","M",22,"athletics","F"
"ESP","M",22,"athletics","F"
"FIJ","M",28,"football","F"
"AUS","F",24,"canoe","F"
"GER","M",27,"athletics","F"
"PUR","F",23,"athletics","F"
"CAN","F",22,"athletics","F"
"GBR","F",38,"athletics","F"
"AUS","F",21,"canoe","F"
"RSA","F",25,"athletics","F"
"USA","F",22,"hockey","F"
"USA","F",28,"football","F"
"CAN","F",24,"athletics","F"
"CZE","F",26,"aquatics","F"
"GUI","M",22,"aquatics","F"
"SEN","M",24,"athletics","F"
"ESP","F",19,"rugby sevens","F"
"NGR","F",26,"athletics","F"
"DEN","F",20,"cycling","F"
"NOR","F",22,"athletics","F"
"DEN","F",22,"canoe","F"
"ARM","F",28,"athletics","F"
"ETH","M",32,"athletics","F"
"BRA","F",26,"rugby sevens","F"
"THA","F",26,"cycling","F"
"RSA","F",28,"football","F"
"USA","F",25,"rowing","T"
"SWE","F",23,"football","F"
"NOR","F",25,"handball","T"
"SIN","F",22,"sailing","F"
"BRA","F",29,"aquatics","F"
"USA","F",30,"rowing","T"
"BRA","F",22,"fencing","F"
"AUS","F",29,"cycling","F"
"USA","F",30,"aquatics","T"
"FRA","F",27,"football","F"
"FRA","F",30,"handball","T"
"FRA","F",30,"canoe","F"
"TKM","M",27,"athletics","F"
"ERI","M",26,"athletics","F"
"CRO","M",29,"weightlifting","F"
"BLR","M",26,"wrestling","F"
"NGR","M",26,"wrestling","F"
"USA","F",35,"athletics","F"
"NZL","F",32,"football","F"
"GBR","F",19,"shooting","F"
"RWA","M",36,"athletics","F"
"QAT","M",22,"handball","F"
"USA","M",25,"athletics","F"
"FRA","F",27,"basketball","F"
"FRA","F",23,"football","F"
"BIH","M",25,"athletics","F"
"SRB","F",23,"athletics","F"
"ARG","F",28,"handball","F"
"USA","F",25,"aquatics","F"
"NZL","F",25,"hockey","F"
"ARG","F",39,"shooting","F"
"CAN","F",23,"triathlon","F"
"AUT","M",28,"wrestling","F"
"JPN","F",21,"judo","T"
"FRA","M",21,"cycling","F"
"AUS","F",20,"aquatics","F"
"ALG","F",29,"athletics","F"
"BIH","F",20,"aquatics","F"
"ALG","F",30,"rowing","F"
"NGR","F",23,"wrestling","F"
"MDV","F",23,"aquatics","F"
"TUN","M",26,"handball","F"
"ALG","M",25,"athletics","F"
"TGA","M",27,"aquatics","F"
"NGR","M",21,"football","T"
"IRI","M",25,"volleyball","F"
"GEO","M",28,"judo","F"
"ISR","F",27,"aquatics","F"
"IRQ","M",19,"football","F"
"IRQ","M",23,"football","F"
"MAW","F",19,"aquatics","F"
"SUD","F",26,"athletics","F"
"THA","M",37,"boxing","F"
"TUN","M",31,"athletics","F"
"EGY","M",30,"modern pentathlon","F"
"USA","F",32,"athletics","F"
"AUS","F",24,"cycling","F"
"CAN","F",39,"equestrian","F"
"SEN","F",30,"athletics","F"
"GBR","F",17,"gymnastics","T"
"AUS","F",32,"rugby sevens","T"
"GBR","F",25,"rugby sevens","F"
"RSA","F",29,"cycling","F"
"BRA","F",23,"fencing","F"
"POR","F",32,"athletics","F"
"BRA","F",28,"athletics","F"
"SRB","F",27,"basketball","T"
"CRO","F",18,"gymnastics","F"
"POR","F",34,"athletics","F"
"ARG","F",30,"volleyball","F"
"ROU","F",14,"aquatics","F"
"SRB","F",29,"tennis","F"
"DOM","F",27,"athletics","F"
"CRO","F",19,"tennis","F"
"BRA","F",27,"sailing","F"
"ROU","F",17,"gymnastics","F"
"BRA","F",24,"aquatics","F"
"ROU","F",32,"fencing","T"
"COL","F",30,"archery","F"
"BRA","F",29,"handball","F"
"BRA","F",27,"canoe","F"
"ESP","F",19,"gymnastics","F"
"COL","F",25,"rugby sevens","F"
"POR","F",28,"gymnastics","F"
"FIJ","F",28,"rugby sevens","F"
"COL","F",26,"cycling","F"
"BRA","F",20,"canoe","F"
"CRO","F",26,"athletics","F"
"GUA","F",21,"gymnastics","F"
"ANG","F",26,"aquatics","F"
"ROU","F",32,"athletics","F"
"CRO","F",29,"taekwondo","F"
"AUT","F",26,"canoe","F"
"ESP","F",34,"tennis","F"
"AUS","F",23,"aquatics","T"
"SLO","F",25,"judo","T"
"ROU","F",28,"athletics","F"
"EGY","M",23,"athletics","F"
"RSA","M",24,"athletics","F"
"MAR","M",23,"cycling","F"
"DJI","M",21,"judo","F"
"RUS","F",26,"triathlon","F"
"RUS","F",22,"gymnastics","T"
"MKD","F",23,"aquatics","F"
"ISR","F",31,"aquatics","F"
"UKR","F",21,"archery","F"
"RUS","F",25,"tennis","F"
"AUS","F",34,"tennis","F"
"RUS","F",26,"volleyball","F"
"RUS","F",21,"aquatics","T"
"RUS","F",26,"taekwondo","F"
"RUS","F",23,"boxing","T"
"RUS","F",26,"aquatics","F"
"GEO","F",20,"weightlifting","F"
"UKR","F",30,"rowing","F"
"RUS","F",22,"aquatics","F"
"UKR","F",21,"weightlifting","F"
"RUS","F",25,"gymnastics","T"
"UKR","F",22,"aquatics","F"
"RUS","F",19,"gymnastics","T"
"UKR","F",23,"canoe","F"
"RUS","F",23,"cycling","T"
"LAT","F",26,"wrestling","F"
"GER","F",19,"gymnastics","F"
"BLR","F",21,"weightlifting","F"
"BLR","F",31,"modern pentathlon","F"
"BLR","F",23,"athletics","F"
"UKR","F",20,"aquatics","F"
"UZB","F",19,"gymnastics","F"
"UKR","F",23,"modern pentathlon","F"
"KAZ","F",26,"athletics","F"
"TJK","F",15,"aquatics","F"
"BLR","F",29,"basketball","F"
"UKR","F",18,"gymnastics","F"
"KAZ","F",30,"athletics","F"
"KAZ","F",28,"athletics","F"
"UKR","M",27,"fencing","F"
"ROU","F",29,"athletics","F"
"MNE","F",29,"handball","F"
"CRO","M",31,"aquatics","T"
"ESP","M",29,"canoe","F"
"DEN","M",40,"equestrian","F"
"DEN","M",25,"aquatics","F"
"NOR","M",24,"sailing","F"
"USA","M",24,"rowing","F"
"BRA","M",24,"canoe","F"
"RSA","F",24,"football","F"
"RSA","M",22,"football","F"
"SRB","M",31,"athletics","F"
"ARM","M",21,"weightlifting","F"
"HUN","M",34,"cycling","F"
"HUN","M",33,"fencing","T"
"POR","M",26,"football","F"
"GER","M",26,"judo","F"
"POR","M",32,"cycling","F"
"GER","M",22,"shooting","F"
"ANG","M",27,"rowing","F"
"BRA","M",26,"hockey","F"
"BRA","M",23,"aquatics","F"
"BRA","M",39,"tennis","F"
"BRA","M",28,"rugby sevens","F"
"BRA","M",32,"handball","F"
"CAN","M",22,"athletics","T"
"SRB","F",29,"shooting","F"
"ITA","M",31,"fencing","F"
"IRL","F",34,"sailing","F"
"COL","F",22,"wrestling","F"
"ITA","M",32,"fencing","F"
"PER","F",23,"aquatics","F"
"ITA","M",21,"aquatics","F"
"ITA","M",21,"aquatics","F"
"NED","F",31,"athletics","F"
"ITA","M",22,"aquatics","T"
"USA","F",25,"athletics","F"
"NZL","F",34,"triathlon","F"
"CZE","F",30,"tennis","F"
"CRO","F",32,"athletics","F"
"NZL","F",34,"taekwondo","F"
"MNE","F",25,"handball","F"
"NED","F",23,"aquatics","F"
"AUT","F",37,"athletics","F"
"ITA","M",25,"rowing","F"
"ROU","F",17,"athletics","F"
"ISR","F",24,"aquatics","F"
"ECU","F",26,"shooting","F"
"GER","F",29,"tennis","F"
"SUI","M",27,"triathlon","F"
"ITA","M",23,"fencing","T"
"CAN","F",26,"athletics","F"
"ITA","M",31,"cycling","F"
"ITA","M",25,"aquatics","F"
"CAN","F",23,"canoe","F"
"GER","M",27,"gymnastics","F"
"DEN","M",29,"athletics","F"
"CYP","M",32,"shooting","F"
"GER","M",29,"rowing","T"
"SWE","M",23,"football","F"
"GER","M",34,"shooting","F"
"DEN","M",22,"football","F"
"SWE","M",26,"handball","F"
"CYP","M",34,"sailing","F"
"DEN","M",25,"triathlon","F"
"ITA","M",32,"tennis","F"
"GER","M",26,"gymnastics","F"
"GRE","M",22,"aquatics","F"
"GER","M",25,"handball","T"
"ROU","F",23,"weightlifting","F"
"ROU","F",28,"athletics","F"
"ROU","F",25,"rowing","T"
"ROU","F",28,"judo","F"
"ROU","F",25,"tennis","F"
"BLR","M",23,"athletics","F"
"ROU","M",25,"athletics","F"
"EST","M",34,"rowing","T"
"RUS","M",22,"aquatics","F"
"ROU","M",23,"gymnastics","F"
"RUS","M",29,"boxing","F"
"BRA","F",29,"boxing","F"
"VEN","F",25,"aquatics","F"
"CRO","M",30,"table tennis","F"
"SVK","M",27,"tennis","F"
"LTU","M",29,"canoe","F"
"PUR","M",21,"athletics","F"
"ECU","M",33,"athletics","F"
"CHI","M",24,"sailing","F"
"ESP","M",24,"weightlifting","F"
"COL","M",19,"weightlifting","F"
"ESP","M",29,"hockey","F"
"ARG","M",37,"basketball","F"
